Sondaj_No;Enlem;Boylam;GYS_m;Derinlik_m;Zemin_Sinifi;N_arazi;FC;PI
SK-6;421758.4;4604488.5;4.65;1.50;GP;31;4.9;0
SK-6;421758.4;4604488.5;4.65;3.00;GP;13;4.9;0
SK-6;421758.4;4604488.5;4.65;4.50;GP;10;4.9;0
SK-6;421758.4;4604488.5;4.65;6.00;SM;9;13.4;0
SK-6;421758.4;4604488.5;4.65;7.50;SM;4;13.4;0
SK-6;421758.4;4604488.5;4.65;9.00;GW;11;5.0;0
SK-6;421758.4;4604488.5;4.65;10.50;GW;16;5.0;0
SK-6;421758.4;4604488.5;4.65;12.00;GW;15;5.0;0
SK-6;421758.4;4604488.5;4.65;14.00;CL;11;87.8;10.5
SK-6;421758.4;4604488.5;4.65;15.00;CL;7;87.8;10.5
SK-6;421758.4;4604488.5;4.65;16.90;CL;6;87.8;10.5
SK-6;421758.4;4604488.5;4.65;18.00;CL;6;87.8;10.5
SK-6;421758.4;4604488.5;4.65;19.95;CL;12;87.8;10.5
SK-6;421758.4;4604488.5;4.65;21.00;CL;8;87.8;10.5
SK-6;421758.4;4604488.5;4.65;22.90;ML;21;75.0;0
SK-6;421758.4;4604488.5;4.65;24.00;SW-SM;30;7.7;0
SK-6;421758.4;4604488.5;4.65;25.50;SW-SM;33;7.7;0
SK-6;421758.4;4604488.5;4.65;27.00;SW-SM;31;7.7;0
SK-6;421758.4;4604488.5;4.65;28.50;SW-SM;44;7.7;0
SK-6;421758.4;4604488.5;4.65;30.50;CH;15;100.0;32.9
SK-6;421758.4;4604488.5;4.65;31.50;CH;16;100.0;32.9
SK-6;421758.4;4604488.5;4.65;33.40;CH;11;100.0;32.9
SK-6;421758.4;4604488.5;4.65;34.50;CH;11;100.0;32.9
SK-6;421758.4;4604488.5;4.65;36.40;CH;8;100.0;32.9
SK-6;421758.4;4604488.5;4.65;37.50;CH;6;100.0;32.9
SK-6;421758.4;4604488.5;4.65;39.40;CH;12;87.4;27.9
SK-6;421758.4;4604488.5;4.65;40.50;CH;10;87.4;27.9
SK-6;421758.4;4604488.5;4.65;42.40;MH;17;90.6;28.5
SK-6;421758.4;4604488.5;4.65;43.50;MH;16;90.6;28.5
SK-6;421758.4;4604488.5;4.65;45.40;MH;21;90.6;28.5
SK-6;421758.4;4604488.5;4.65;46.50;MH;19;90.6;28.5
SK-6;421758.4;4604488.5;4.65;48.40;GM;28;42.1;0
SK-6;421758.4;4604488.5;4.65;50.00;GM;19;42.1;0
SK-7;421843.96;4604565.32;5.3;1.50;SM;14;49.0;0
SK-7;421843.96;4604565.32;5.3;3.00;SM;12;49.0;0
SK-7;421843.96;4604565.32;5.3;4.95;CL;3;99.4;19.5
SK-7;421843.96;4604565.32;5.3;6.00;CL;3;99.4;19.5
SK-7;421843.96;4604565.32;5.3;7.95;CL;3;99.4;19.5
SK-7;421843.96;4604565.32;5.3;9.00;CH;3;100.0;30.8
SK-7;421843.96;4604565.32;5.3;10.95;CH;5;100.0;30.8
SK-7;421843.96;4604565.32;5.3;12.00;CH;7;100.0;30.8
SK-7;421843.96;4604565.32;5.3;13.95;CH;3;100.0;30.8
SK-7;421843.96;4604565.32;5.3;15.00;CH;5;100.0;30.8
SK-7;421843.96;4604565.32;5.3;16.95;CH;3;100.0;30.8
SK-7;421843.96;4604565.32;5.3;18.00;CH;3;100.0;30.8
SK-7;421843.96;4604565.32;5.3;19.50;CH;6;100.0;30.8
SK-7;421843.96;4604565.32;5.3;21.00;SW-SM;32;10.9;0
SK-7;421843.96;4604565.32;5.3;22.50;SW-SM;26;2.9;0
SK-7;421843.96;4604565.32;5.3;24.00;SW-SM;24;2.9;0
SK-7;421843.96;4604565.32;5.3;25.50;SW-SM;24;2.9;0
SK-7;421843.96;4604565.32;5.3;27.00;SW;23;2.9;0
SK-7;421843.96;4604565.32;5.3;28.95;CH;9;100.0;36.3
SK-7;421843.96;4604565.32;5.3;30.00;CH;7;100.0;36.3
SK-7;421843.96;4604565.32;5.3;31.95;CH;6;100.0;36.3
